epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6298,1.75652,2.89545,2.00481,0.99375,0.28667,0.45809,0.25222,1.40863,3.30797,1.93632,0.00026672,0.00026672,0.00026672
2,114.245,1.44464,1.96365,1.6876,0.89593,0.38043,0.42974,0.22904,1.67017,2.89784,2.26131,0.000548295,0.000548295,0.000548295
3,169.397,1.44758,1.84124,1.69659,0.98373,0.39643,0.47051,0.2309,1.69312,3.02996,2.36405,0.000827999,0.000827999,0.000827999
4,224.234,1.4573,1.7864,1.7244,0.62464,0.26,0.09414,0.03648,2.04481,3.79023,3.11102,0.00110583,0.00110583,0.00110583
5,283.892,1.51332,1.71794,1.74981,0.92713,0.45333,0.49075,0.2195,1.80795,2.62462,2.59457,0.0013818,0.0013818,0.0013818
6,338.46,1.45518,1.6163,1.66398,0.6113,0.30667,0.11638,0.04129,2.09967,3.97873,2.91708,0.00163949,0.00163949,0.00163949
7,392.525,1.44114,1.52048,1.70361,0.2572,0.36222,0.22703,0.09075,2.02309,3.11062,2.7398,0.00163399,0.00163399,0.00163399
8,452.135,1.42659,1.49159,1.66777,0.36751,0.66778,0.4355,0.19711,1.84141,4.79623,2.51455,0.00162849,0.00162849,0.00162849
9,512.424,1.36595,1.36109,1.60876,0.57468,0.57944,0.5936,0.24873,1.74516,2.01262,2.30169,0.00162299,0.00162299,0.00162299
10,572.796,1.42307,1.3695,1.64031,0.5611,0.5941,0.59705,0.30137,1.68861,1.95553,2.23902,0.00161749,0.00161749,0.00161749
11,623.282,1.39452,1.24844,1.61081,0.57835,0.67119,0.63852,0.35669,1.51733,2.44195,2.07246,0.00161199,0.00161199,0.00161199
12,672.75,1.3397,1.26648,1.58267,0.51932,0.69111,0.61121,0.28385,1.79445,3.39393,2.32325,0.00160649,0.00160649,0.00160649
13,749.965,1.38885,1.26024,1.61039,0.53514,0.70911,0.60301,0.30055,1.65681,2.79609,2.20185,0.00160099,0.00160099,0.00160099
14,810.129,1.39925,1.21991,1.62514,0.55107,0.68056,0.6656,0.35424,1.56161,1.50738,2.07687,0.00159549,0.00159549,0.00159549
15,858.094,1.36178,1.19956,1.6049,0.63755,0.59357,0.61175,0.33639,1.55496,1.4172,2.03998,0.00158998,0.00158998,0.00158998
16,942.614,1.32659,1.10785,1.53888,0.69107,0.57667,0.62347,0.33807,1.52206,1.4257,2.05367,0.00158448,0.00158448,0.00158448
17,990.796,1.30422,1.12195,1.55566,0.51843,0.75,0.70554,0.37321,1.51058,1.42328,1.97597,0.00157898,0.00157898,0.00157898
18,1038.76,1.24694,1.04373,1.5164,0.6434,0.76389,0.68541,0.38616,1.4159,1.14132,1.92106,0.00157348,0.00157348,0.00157348
19,1086.64,1.28051,1.0291,1.51577,0.5838,0.66112,0.71812,0.41392,1.39065,1.19061,1.9064,0.00156798,0.00156798,0.00156798
20,1136.48,1.296,1.0324,1.54935,0.96226,0.48999,0.62851,0.34689,1.59432,1.39328,2.04593,0.00156248,0.00156248,0.00156248
21,1186.93,1.24277,0.97437,1.48742,0.56576,0.68056,0.69085,0.37326,1.54863,1.94153,2.0647,0.00155698,0.00155698,0.00155698
22,1242.38,1.2751,1.00454,1.53332,0.6704,0.72333,0.71674,0.40464,1.37515,1.40783,1.90735,0.00155148,0.00155148,0.00155148
23,1295.35,1.23625,0.97817,1.4951,0.74109,0.72222,0.77818,0.37069,1.49108,1.23143,2.05166,0.00154598,0.00154598,0.00154598
24,1347.93,1.27418,0.97551,1.52757,0.68984,0.57638,0.63477,0.32657,1.57579,1.26763,2.09317,0.00154047,0.00154047,0.00154047
25,1400.77,1.22722,0.97119,1.52822,0.59535,0.65278,0.6756,0.39596,1.37005,1.0625,1.81721,0.00153497,0.00153497,0.00153497
26,1452.79,1.26867,0.98462,1.52466,0.6259,0.77111,0.6776,0.29919,1.77493,1.17179,2.35254,0.00152947,0.00152947,0.00152947
27,1505.68,1.22863,0.9067,1.48861,0.68484,0.77778,0.75968,0.40434,1.44585,1.13997,1.93518,0.00152397,0.00152397,0.00152397
28,1560.93,1.23501,0.95501,1.51258,0.60753,0.63444,0.66478,0.35574,1.41956,1.33606,1.92787,0.00151847,0.00151847,0.00151847
29,1616.2,1.19282,0.8998,1.47696,0.64319,0.76007,0.7258,0.37442,1.48719,1.02371,1.97439,0.00151297,0.00151297,0.00151297
30,1672.78,1.18809,0.91504,1.4601,0.7354,0.68449,0.70766,0.38353,1.44813,0.9384,1.96442,0.00150747,0.00150747,0.00150747
31,1722.18,1.18438,0.86685,1.4792,0.78853,0.86111,0.81554,0.4475,1.41616,0.81855,1.87926,0.00150197,0.00150197,0.00150197
32,1772.12,1.20321,0.84716,1.47202,0.774,0.79167,0.78882,0.46164,1.36863,0.88933,1.86145,0.00149647,0.00149647,0.00149647
33,1821.23,1.21972,0.87472,1.48293,0.77607,0.79167,0.79434,0.44346,1.37444,0.95091,1.87696,0.00149096,0.00149096,0.00149096
34,1871.18,1.178,0.83181,1.44693,0.77971,0.82,0.81394,0.43817,1.39045,0.88117,1.82707,0.00148546,0.00148546,0.00148546
35,1925.85,1.15737,0.80476,1.43752,0.81359,0.75056,0.76983,0.45461,1.2678,0.90599,1.71715,0.00147996,0.00147996,0.00147996
36,1981.43,1.18408,0.80325,1.45539,0.72946,0.76389,0.80485,0.43678,1.38872,0.87909,1.8058,0.00147446,0.00147446,0.00147446
37,2033.12,1.20032,0.86197,1.46157,0.86216,0.83333,0.89474,0.46761,1.41152,0.79275,1.84656,0.00146896,0.00146896,0.00146896
38,2099.49,1.15858,0.81408,1.41767,0.77571,0.81944,0.79729,0.45241,1.29425,0.80958,1.75991,0.00146346,0.00146346,0.00146346
39,2148.44,1.13618,0.80613,1.41495,0.76674,0.85258,0.80065,0.4384,1.42442,0.98182,1.95228,0.00145796,0.00145796,0.00145796
40,2197.44,1.17025,0.79878,1.42811,0.89746,0.82972,0.88668,0.49142,1.33404,0.7884,1.83036,0.00145246,0.00145246,0.00145246
41,2246.9,1.17409,0.81222,1.44779,0.76799,0.80556,0.82614,0.43102,1.41218,0.77214,1.97049,0.00144696,0.00144696,0.00144696
42,2296.39,1.14212,0.78345,1.40778,0.78488,0.83333,0.85757,0.44457,1.50791,0.84717,1.97101,0.00144145,0.00144145,0.00144145
43,2349.38,1.15059,0.76401,1.42506,0.85394,0.7859,0.84293,0.47159,1.38085,0.84604,1.78435,0.00143595,0.00143595,0.00143595
44,2402.63,1.15237,0.79634,1.43229,0.78323,0.80556,0.82497,0.43369,1.38118,0.79591,1.85328,0.00143045,0.00143045,0.00143045
45,2455.11,1.11211,0.79625,1.4059,0.74994,0.84722,0.79821,0.46881,1.23754,0.79318,1.71614,0.00142495,0.00142495,0.00142495
46,2509.24,1.10098,0.77684,1.39253,0.83507,0.89149,0.90067,0.51342,1.29688,0.72043,1.75105,0.00141945,0.00141945,0.00141945
47,2562.5,1.0904,0.75691,1.3715,0.90456,0.84722,0.91034,0.50821,1.34269,0.71811,1.83996,0.00141395,0.00141395,0.00141395
48,2616.53,1.08915,0.76058,1.38232,0.85711,0.83333,0.87074,0.51343,1.3615,0.74669,1.81334,0.00140845,0.00140845,0.00140845
49,2667.66,1.08882,0.72171,1.39188,0.83732,0.76389,0.80698,0.46623,1.41007,0.83863,1.89399,0.00140295,0.00140295,0.00140295
50,2716.65,1.05876,0.7078,1.36041,0.8637,0.86111,0.89083,0.5143,1.28496,0.80562,1.74488,0.00139745,0.00139745,0.00139745
51,2766.57,1.10429,0.72711,1.38226,0.81982,0.91742,0.89596,0.50028,1.26029,0.73983,1.73064,0.00139195,0.00139195,0.00139195
52,2816.31,1.08814,0.7409,1.40992,0.86597,0.95833,0.92665,0.49791,1.30461,0.73266,1.79176,0.00138644,0.00138644,0.00138644
53,2865.61,1.08615,0.72677,1.3852,0.92305,0.93056,0.93118,0.52001,1.28998,0.70899,1.77966,0.00138094,0.00138094,0.00138094
54,2917.48,1.10144,0.70706,1.3727,0.88095,0.81944,0.8799,0.42799,1.55886,0.80375,2.05152,0.00137544,0.00137544,0.00137544
55,2970.96,1.09827,0.71672,1.402,0.89632,0.93056,0.92313,0.52823,1.32852,0.69797,1.80929,0.00136994,0.00136994,0.00136994
56,3025.43,1.06455,0.74436,1.39287,0.87002,0.9005,0.92149,0.5323,1.22882,0.70392,1.70605,0.00136444,0.00136444,0.00136444
57,3079.28,1.03018,0.70208,1.35778,0.91938,0.93056,0.9355,0.54175,1.22704,0.66319,1.68929,0.00135894,0.00135894,0.00135894
58,3132.76,1.04448,0.68958,1.35257,0.82765,0.88889,0.88126,0.52862,1.24452,0.67065,1.71539,0.00135344,0.00135344,0.00135344
59,3186.28,1.05826,0.69045,1.36388,0.89917,0.91667,0.9277,0.53104,1.31104,0.67133,1.81312,0.00134794,0.00134794,0.00134794
60,3240.57,1.09148,0.68161,1.35076,0.92671,0.84722,0.91015,0.50806,1.30038,0.70802,1.8073,0.00134244,0.00134244,0.00134244
61,3295.44,1.01029,0.68926,1.35574,0.87561,0.90278,0.91566,0.51393,1.29153,0.69802,1.78317,0.00133693,0.00133693,0.00133693
62,3350,1.03933,0.69187,1.36116,0.93776,0.84722,0.88805,0.52879,1.30988,0.69202,1.75365,0.00133143,0.00133143,0.00133143
63,3404.1,1.00358,0.66764,1.32927,0.86266,0.84722,0.87111,0.51886,1.31431,0.68081,1.80366,0.00132593,0.00132593,0.00132593
64,3460.71,0.9999,0.68391,1.33538,0.84713,0.77579,0.84237,0.48789,1.31564,0.73675,1.78079,0.00132043,0.00132043,0.00132043
65,3515.04,1.02796,0.68419,1.35577,0.71546,0.80611,0.79943,0.44823,1.37745,0.90381,1.84523,0.00131493,0.00131493,0.00131493
66,3569.34,1.04955,0.69053,1.33989,0.97452,0.81618,0.91337,0.51294,1.37291,0.71118,1.83461,0.00130943,0.00130943,0.00130943
67,3618.01,1.02437,0.66337,1.36359,0.90312,0.8723,0.9169,0.50139,1.3388,0.69941,1.78648,0.00130393,0.00130393,0.00130393
68,3666.7,1.03187,0.67782,1.33938,0.94003,0.90278,0.91832,0.51968,1.34057,0.70788,1.78205,0.00129843,0.00129843,0.00129843
69,3715.55,1.04106,0.66511,1.34284,0.91443,0.875,0.91137,0.51363,1.30273,0.67221,1.75776,0.00129293,0.00129293,0.00129293
70,3764.26,1.04973,0.67333,1.35172,0.82746,0.93056,0.92074,0.51394,1.32097,0.69145,1.76049,0.00128742,0.00128742,0.00128742
71,3818.45,1.0803,0.68351,1.35899,0.88118,0.88344,0.89672,0.51266,1.25543,0.66448,1.77831,0.00128192,0.00128192,0.00128192
72,3910.22,1.06266,0.68057,1.36737,0.91147,0.8337,0.91597,0.54775,1.2408,0.70327,1.74365,0.00127642,0.00127642,0.00127642
73,4016.79,1.03374,0.66069,1.34093,0.93192,0.87078,0.92649,0.48675,1.39861,0.67444,1.93363,0.00127092,0.00127092,0.00127092
74,4128.95,1.01986,0.64194,1.3435,0.9479,0.89764,0.94513,0.5363,1.269,0.61448,1.74388,0.00126542,0.00126542,0.00126542
75,4238.51,1.0942,0.68965,1.38678,0.93741,0.86111,0.91728,0.50236,1.35155,0.63793,1.81864,0.00125992,0.00125992,0.00125992
