epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22856,1.12348,2.74466,1.40398,0.8871,0.48667,0.48452,0.36078,1.00066,2.67825,1.34677,0.00026672,0.00026672,0.00026672
2,15.8138,1.09928,1.72932,1.38526,1,0.2013,0.46541,0.35341,1.09302,2.62382,1.43111,0.000548295,0.000548295,0.000548295
3,23.4671,1.12307,1.63499,1.34146,0.93955,0.33936,0.42853,0.27554,1.26983,2.06121,1.6244,0.000827999,0.000827999,0.000827999
4,31.3022,1.14034,1.52604,1.34348,0.93651,0.40667,0.44704,0.33247,1.09714,1.93137,1.4186,0.00110583,0.00110583,0.00110583
5,38.7998,1.07642,1.4227,1.31639,0.96435,0.43424,0.48621,0.35525,1.09903,1.92886,1.43825,0.0013818,0.0013818,0.0013818
6,46.1037,1.09199,1.40454,1.32634,0.97945,0.46659,0.55636,0.40107,1.15291,1.68074,1.54388,0.00163949,0.00163949,0.00163949
7,53.6428,1.10301,1.33052,1.34681,0.90015,0.45333,0.5331,0.36461,1.09197,1.96911,1.5304,0.00163399,0.00163399,0.00163399
8,61.3388,1.11597,1.28323,1.35256,0.6398,0.41146,0.50914,0.33464,1.18997,1.61916,1.49302,0.00162849,0.00162849,0.00162849
9,68.688,1.05817,1.2024,1.31346,0.47785,0.59193,0.56229,0.35735,1.25035,1.52523,1.61019,0.00162299,0.00162299,0.00162299
10,76.281,1.06015,1.11718,1.29991,0.59617,0.51723,0.56964,0.38451,1.10941,1.39518,1.42367,0.00161749,0.00161749,0.00161749
11,83.4491,1.02917,1.09537,1.31152,0.6189,0.56544,0.57736,0.38983,1.16279,1.32018,1.4916,0.00161199,0.00161199,0.00161199
12,92.0025,1.06477,1.08615,1.32133,0.64063,0.49568,0.57145,0.3832,1.1749,3.29117,1.49914,0.00160649,0.00160649,0.00160649
13,99.3758,1.00227,1.03265,1.25214,0.53616,0.62491,0.65801,0.41123,1.05896,1.32292,1.39153,0.00160099,0.00160099,0.00160099
14,107.034,1.05924,1.02134,1.30603,0.30231,0.39105,0.32345,0.18391,1.33028,2.52926,1.60856,0.00159549,0.00159549,0.00159549
15,114.999,0.99166,0.95176,1.22869,0.62369,0.5137,0.5769,0.35924,1.17422,1.86111,1.46382,0.00158998,0.00158998,0.00158998
16,122.8,0.99561,0.91126,1.24948,0.68264,0.71702,0.70727,0.48071,1.09451,1.07865,1.44505,0.00158448,0.00158448,0.00158448
17,130.133,1.01501,0.9409,1.30133,0.81444,0.64406,0.71904,0.50055,1.02342,0.85459,1.33973,0.00157898,0.00157898,0.00157898
18,137.893,1.02885,0.90293,1.26118,0.7161,0.68421,0.70161,0.5072,0.9589,0.80002,1.29168,0.00157348,0.00157348,0.00157348
19,145.966,0.98494,0.88693,1.22739,0.70499,0.71996,0.66758,0.48014,0.90505,0.99691,1.24976,0.00156798,0.00156798,0.00156798
20,154.053,0.9776,0.88881,1.23585,0.72067,0.72368,0.74862,0.52456,0.97248,0.80632,1.25815,0.00156248,0.00156248,0.00156248
21,161.889,0.91338,0.79933,1.19189,0.76217,0.74965,0.74859,0.53064,0.92613,0.96648,1.25886,0.00155698,0.00155698,0.00155698
22,169.379,0.93652,0.82877,1.20501,0.72013,0.63158,0.66123,0.46521,1.02236,1.18875,1.31294,0.00155148,0.00155148,0.00155148
23,176.628,0.98384,0.81209,1.25051,0.75405,0.77632,0.77901,0.51349,0.97458,0.96263,1.30671,0.00154598,0.00154598,0.00154598
24,185.2,0.96094,0.81017,1.22027,0.86961,0.68421,0.75703,0.51408,1.00705,0.82136,1.31281,0.00154047,0.00154047,0.00154047
25,192.619,0.97442,0.78802,1.22905,0.73407,0.71053,0.75239,0.54215,0.94056,0.75978,1.28428,0.00153497,0.00153497,0.00153497
26,201.326,0.87134,0.69857,1.14456,0.63439,0.74881,0.69286,0.51884,0.95412,0.79689,1.27303,0.00152947,0.00152947,0.00152947
27,208.627,0.87133,0.69021,1.14433,0.77557,0.80263,0.77142,0.5449,0.9582,0.67119,1.31074,0.00152397,0.00152397,0.00152397
28,215.602,0.90755,0.71205,1.21538,0.81403,0.82228,0.81856,0.53927,1.04096,0.7232,1.35104,0.00151847,0.00151847,0.00151847
29,223.823,0.88686,0.70795,1.16933,0.71614,0.73684,0.75466,0.53344,0.91666,0.75747,1.26145,0.00151297,0.00151297,0.00151297
30,232.866,0.8749,0.66449,1.17451,0.79412,0.77868,0.82746,0.59837,0.9042,0.66588,1.2383,0.00150747,0.00150747,0.00150747
31,241.845,0.80703,0.61926,1.15513,0.78301,0.78947,0.81077,0.55029,0.83298,0.63785,1.19988,0.00150197,0.00150197,0.00150197
