epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5113,1.05573,2.54551,1.36059,1,0.11326,0.47778,0.34613,1.14173,3.21983,1.44232,0.00026672,0.00026672,0.00026672
2,119.101,1.04738,1.64105,1.31809,1,0.27006,0.46963,0.34564,1.2042,3.19125,1.53269,0.000548295,0.000548295,0.000548295
3,167.674,1.11541,1.62898,1.34871,0.92736,0.39222,0.44973,0.33833,1.20139,2.73709,1.49169,0.000827999,0.000827999,0.000827999
4,217.088,1.11145,1.53219,1.38368,0.98946,0.42,0.47959,0.33543,1.36932,2.55465,1.59561,0.00110583,0.00110583,0.00110583
5,265.045,1.17949,1.44638,1.37875,0.81844,0.29333,0.35955,0.20868,1.39726,2.84603,1.64164,0.0013818,0.0013818,0.0013818
6,317.537,1.12327,1.3865,1.31962,0.91327,0.34945,0.41903,0.27329,1.43597,2.48932,1.71486,0.00163949,0.00163949,0.00163949
7,375.167,1.11326,1.3535,1.34554,0.9313,0.46,0.53809,0.35228,1.27723,2.03112,1.69629,0.00163399,0.00163399,0.00163399
8,431.627,1.09991,1.25773,1.32985,0.76356,0.31955,0.3057,0.16488,1.76373,2.87746,1.99504,0.00162849,0.00162849,0.00162849
9,488.982,1.10439,1.12833,1.3159,0.9516,0.43543,0.53556,0.37228,1.25538,1.98922,1.62329,0.00162299,0.00162299,0.00162299
10,544.25,1.06647,1.11428,1.27746,0.65837,0.58544,0.64582,0.45338,1.12227,1.67067,1.45671,0.00161749,0.00161749,0.00161749
11,597.934,1.06302,1.07321,1.28488,0.72433,0.57053,0.58753,0.38401,1.24454,2.18374,1.58163,0.00161199,0.00161199,0.00161199
12,650.304,1.0354,1.12902,1.27242,0.86907,0.50649,0.62245,0.40793,1.18163,1.56882,1.50098,0.00160649,0.00160649,0.00160649
13,698.318,1.00793,0.97774,1.24567,0.70718,0.65123,0.68787,0.43597,1.16945,1.38473,1.4254,0.00160099,0.00160099,0.00160099
14,746.092,1.05055,1.04195,1.29196,0.80531,0.63141,0.7134,0.46686,1.09861,1.29619,1.41703,0.00159549,0.00159549,0.00159549
15,794.96,1.0275,0.96977,1.26971,0.72353,0.65123,0.71122,0.49216,1.04166,1.14606,1.3459,0.00158998,0.00158998,0.00158998
16,843.855,0.97476,0.88924,1.21544,0.50263,0.57193,0.59584,0.37433,1.36776,1.50885,1.61395,0.00158448,0.00158448,0.00158448
17,892.284,0.99355,0.87906,1.25723,0.64142,0.69212,0.7083,0.48985,1.03092,1.04701,1.38303,0.00157898,0.00157898,0.00157898
18,941.244,1.01381,0.90709,1.28586,0.80926,0.61842,0.68767,0.49097,0.89694,0.97303,1.23394,0.00157348,0.00157348,0.00157348
19,989.702,0.96511,0.81635,1.20712,0.76199,0.71053,0.75108,0.5021,0.94111,0.97252,1.28813,0.00156798,0.00156798,0.00156798
20,1042.93,0.92281,0.80188,1.21635,0.69057,0.75,0.68527,0.47431,0.94849,0.99224,1.28487,0.00156248,0.00156248,0.00156248
21,1097.65,0.90759,0.76746,1.20286,0.59165,0.76316,0.75921,0.5297,0.88693,1.5732,1.25805,0.00155698,0.00155698,0.00155698
22,1151.69,0.95677,0.81611,1.22788,0.56037,0.72526,0.71797,0.4939,0.90104,0.98174,1.25324,0.00155148,0.00155148,0.00155148
23,1205.45,0.92502,0.78969,1.20945,0.7119,0.81772,0.73833,0.52674,0.89396,3.16094,1.26309,0.00154598,0.00154598,0.00154598
24,1259.96,0.91007,0.76714,1.21278,0.71411,0.75,0.70924,0.50388,1.00942,1.00637,1.31655,0.00154047,0.00154047,0.00154047
25,1313.41,0.95454,0.7623,1.2317,0.82347,0.62491,0.75922,0.53019,0.98462,0.95123,1.31877,0.00153497,0.00153497,0.00153497
26,1366.96,0.89245,0.7485,1.19221,0.82874,0.76316,0.80541,0.53336,0.99368,0.90439,1.3534,0.00152947,0.00152947,0.00152947
27,2717.92,0.89657,0.75747,1.18093,0.71003,0.6907,0.75388,0.50923,0.99401,0.87762,1.31692,0.00152397,0.00152397,0.00152397
